"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","140","Тест создания заказа без ингредиентов","tests","Sun Aug 03 18:27:26 MSK 2025","passed","Sun Aug 03 18:27:26 MSK 2025","TestOrder","test_order_creation","",""
"","392","Тест создания уникального пользователя","tests","Sun Aug 03 18:27:26 MSK 2025","passed","Sun Aug 03 18:27:27 MSK 2025","TestUserCreation","test_user_creaton","",""
"","290","Тест успешного входа с корректными данными","tests","Sun Aug 03 18:27:27 MSK 2025","passed","Sun Aug 03 18:27:28 MSK 2025","TestUserLogin","test_user_login","",""
"","105","Тест создания уже существующего пользователя","tests","Sun Aug 03 18:27:27 MSK 2025","passed","Sun Aug 03 18:27:27 MSK 2025","TestUserCreation","test_user_creaton","",""
"","98","Тест создания заказа без авторизации","tests","Sun Aug 03 18:27:26 MSK 2025","passed","Sun Aug 03 18:27:26 MSK 2025","TestOrder","test_order_creation","",""
"","106","Тест создания пользователя с отсутствующими обязательными полями","tests","Sun Aug 03 18:27:27 MSK 2025","passed","Sun Aug 03 18:27:27 MSK 2025","TestUserCreation","test_user_creaton","",""
"","94","Тест создания заказа с ингредиентами","tests","Sun Aug 03 18:27:26 MSK 2025","passed","Sun Aug 03 18:27:26 MSK 2025","TestOrder","test_order_creation","",""
"","91","Тест неуспешного входа с неверными данными","tests","Sun Aug 03 18:27:28 MSK 2025","passed","Sun Aug 03 18:27:28 MSK 2025","TestUserLogin","test_user_login","",""
"","2746","Тест создания заказа с авторизацией","tests","Sun Aug 03 18:27:23 MSK 2025","passed","Sun Aug 03 18:27:26 MSK 2025","TestOrder","test_order_creation","",""
"","98","Тест создания заказа с неверным хешем ингредиентов","tests","Sun Aug 03 18:27:26 MSK 2025","passed","Sun Aug 03 18:27:26 MSK 2025","TestOrder","test_order_creation","",""
